Product Number,ERP PRICE,SHEIN PRICE,SLEEVE,NECKLINE,LENGTH,FIT,DETAIL,STYLE MOOD,PIECE,MODEL,NOTES,TOP1_CHEST,TOP1_LENGTH,TOP1_SLEEVE,TOP2_CHEST,TOP2_LENGTH,TOP2_SLEEVE,BOTTOM_WAIST,BOTTOM_HIP,BOTTOM_LENGTH,BOTTOM_INSEAM,TEMU PRICE
BTP3398X,12.5,23.5,Long,Round,"Crop Top, Full",Regular,Pocket,Casual,Single,"Plus, Caucasian",Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP3457,7.5,16.75,Sleeveless,Round,"Crop Top, Full",Regular,"Drawstring, Pocket",Lounge,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP3457X,9.5,19.25,Sleeveless,Round,"Crop Top, Full",Regular,"Drawstring, Pocket",Lounge,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP3495,16.5,29.5,Long,Jacket,"Crop Top, Full",Regular,"Drawstring, Button/Zipper, Pocket",Casual,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP3982,10.0,20,Sleeveless,Round,"Crop Top, Full",Regular,Pocket,Casual,Single,Caucasian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP3994,10.5,22.75,Sleeveless,Spaghetti,"Crop Top, Full",Regular,"Drawstring, Pocket, Wide Leg",Casual,Single,"Latina/Black, Caucasian",Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP3994X,12.5,25.75,Sleeveless,Spaghetti,"Crop Top, Full",Regular,"Drawstring, Pocket, Wide Leg",Casual,Single,"Plus, Latina/Black",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP5213,6.0,9.89,Sleeveless,One Shoulder,"Crop Top, Shorts",Slim,Exposed Seam,Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP5239,8.75,20,Sleeveless,Tube,"Crop Top, Full",Slim,"Corset, Wide Leg",Casual,Single,"Latina/Black, Caucasian",Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP5247,9.5,19.25,Sleeveless,Tube,"Waist Top, Full",Regular,"Wide Leg, Slit",Casual,Single,Latina/Black,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP5478,6.5,15.5,Sleeveless,Tube,"Crop Top, Full",Slim,,Casual,Single,Latina/Black,Size Chart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTS5263,5.5,13.5,Sleeveless,Halter,"Crop Top, Mini Skirt",Slim,Backless,Sexy,Single,Caucasian,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
